Datetime,username,Text,language,coordinates
2021-12-18 20:44:40+00:00,LettyvdGeest,@HenryJP5 @Annabel_nurse Wat zeg jij nu precies? 🤷🏽‍♀️,nl,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2021-12-14 07:01:57+00:00,MayMayMeijer,"If a company like @TEDx is willing to change their logo to make the speaker feel more comfortable, can psychiatrists and nurses try to take the fact that people in psychosis are triggered by certain colours into account as well? What do you think @JimvanOs1, @jongepsychiater? 🕊2",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2021-12-03 08:46:23+00:00,Dujo070,@Arno_nurse Goedemorgen Arno dank je wel en een fijne dag toegewenst 😀,nl,"Coordinates(longitude=5.1195597, latitude=51.9594995)"
2021-11-14 09:01:13+00:00,wilcoachterberg,Our article on nurse-physician communication in palliative care is now online https://t.co/VdHUFxNHhz,en,"Coordinates(longitude=5.1195597, latitude=51.9594995)"
2021-11-12 11:11:39+00:00,RamonaTruffino,"@FNijdam @Arno_nurse Ik was net in de bibliotheek van Bussum. Echt, ik keek mijn ogen uit hoeveel oudere mensen daar liepen/zaten zonder mondkapje op - mijn mond viel er open van. En het maakte mij boos. Al 1,5 jaar hou ik mij eraan voor anderen en dan doe je dit? Zo nonchalant?",nl,"Coordinates(longitude=5.0957493, latitude=52.2777847)"
2021-10-04 15:34:17+00:00,MayMayMeijer,"Grateful for today. I was in the company of someone in mental crisis who spoke another language than me. A nurse came up with the idea to listen to music of his home country. I felt connected with him. And I coloured this rose, which reminded me of the rose Christ showed me.🕊❤ https://t.co/ghmWt4qTEv",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-09-29 13:28:37+00:00,sudbeat91NL,"@DimakopoulosV @Leti_nurse Tranquila Vale!!! Dale para adelante , nosotros somos fuertes.",es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-09-23 14:53:19+00:00,MayMayMeijer,"Just back from work at the Psychiatry dep of @UMCUtrecht. Today I walked with a patient and he told me about the importance of the youth. And we, the nurses, psychiatrists and me were such a good team today! Really proud of us. 💪🕊❤🙏🏾#recovery #psychosis #mentalhealth",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-06-25 20:30:52+00:00,JessPoel,@N0TINSERVICE I know a cousin of mine who is a nurse on an A&amp;E in Rotterdam isn't holding her breath she and her colleagues expect a disastrous weekend,en,"Coordinates(longitude=4.7919685, latitude=52.0649667)"
2021-06-21 07:09:46+00:00,MayMayMeijer,"I am going to my work at @UMCUtrecht to help people in a mental crisis. We do this together with fellow peer experts, psychiatrists and nurses. I don't get paid. For me this is OK because it gives me a bit of freedom and above all, it is Gods work. 🕊♥️🙏🏾1/2",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
