Datetime,username,Text,language,coordinates
2017-12-30 01:02:43+00:00,top2000nu,533: Witch Doctor - De Staat (2014) ▲906 #top2000 #nowplaying #nutop2000 #NPORadio2 https://t.co/OxC6BCjdNS https://t.co/AK6osxpCEl,nl,"Coordinates(longitude=5.17304454, latitude=52.23542684)"
2017-12-27 20:26:57+00:00,udithaumesh,"@gsenev Sadly it has become a trend that doctors, hospitals and insurance companies prefer. More revenue for them.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-25 23:18:31+00:00,EJPol,"Het is officieel: the Doctor is een vrouw. ""Oh brilliant!"", zoals ze zelf zei. Daar heb ik niets aan toe te voegen. #DoctorWho",nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-25 18:35:57+00:00,romanista,‘We need something bigger than The Matrix says an ambitious Doctor. #drWho,en,"Coordinates(longitude=5.02894581239036, latitude=52.1004484476731)"
2017-12-11 17:48:43+00:00,suzanneunck,"My #StarshipCrew
Captain: @claudiadebreij 
First Officer: @fidanekiz 
Operations Officer: @biancadenouter 
Doctor: @JolienDopmeijer 
Engineer: @EvelienBok 
Helmsman: @AndreaZuiverC 
Tactical: @victorvantoer 
Navigator: @NobodyELSeNL 
Security Officer: @HeidiSour https://t.co/WbL8djH5Sr",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2017-11-24 13:34:35+00:00,verasteenhart,Workshop zwoer Gianotten over ouderen en seks: seks is hartstikke gezond en heeft positief effect op verouderingsverschijnseken “an orgasm a day keeps the doctor away:)” https://t.co/0s7GaK0JkU,nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-11-20 09:33:42+00:00,juleslancee,"'There's a lot of doctor-talk going on, but don't forget the impact on and of nursing!' @lucienengelen It's time for the year of #entrepreNurse2018! https://t.co/Gz9HITSuXV",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2017-11-06 13:37:31+00:00,Antonie19031966,"Dutch: iPad, FaceTime &amp; iot activity trackers results &amp; https://t.co/R5qOPrwyxv &amp; local nurse visits with 6weeks first line doctor check. https://t.co/R3g5dDN1x9",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-10-24 10:46:33+00:00,LittleBrookRoad,"🍍SICK🍍A (pine)apple a day, keeps the doctor away! So, how do you keep up the daily vitamin… https://t.co/yOg7QXVqpM",en,"Coordinates(longitude=5.26667, latitude=52.25)"
2017-10-20 20:53:20+00:00,julalouise,"Performing at my peak, 28 hours in a stretch of 36 hours, makes it quite clear: I'm getting older. When I look at these 7 year old photos, used in a magazine article, I wonder what happened to the young, energetic, flexible doctor I was then? Wisdom will come with age one hopes! https://t.co/Uu94sWdl5c",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
