Datetime,username,Text,language,coordinates
2017-12-30 19:29:17+00:00,julalouise,"Diphtheria rearing its vile head:-&gt; Special Report: In a hospital ward in Yemen, the collapse of a nation https://t.co/QesbXMVUAT",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2017-12-30 17:42:10+00:00,top2000nu,325: Smokers Outside The Hospital Doors - Editors (2007) ▼13 #top2000 #nowplaying #nutop2000 #NPORadio2 https://t.co/woY1G56oZT https://t.co/gEW2X8Ln6F https://t.co/xwrnueW7YF,en,"Coordinates(longitude=5.17304454, latitude=52.23542684)"
2017-12-29 12:58:11+00:00,AntonioMTeixeir,E cá estou eu no hospital #sick #hospital #urgencia #febre em St.… https://t.co/5lA4jXLU42,pt,"Coordinates(longitude=5.08091067, latitude=52.02538051)"
2017-12-27 20:26:57+00:00,udithaumesh,"@gsenev Sadly it has become a trend that doctors, hospitals and insurance companies prefer. More revenue for them.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-25 16:10:28+00:00,enicoline_,@velvetgh0st I haven't eaten yet. We sre ordering some though bc mum just got out of the hospital so a chilled christmas it is,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-25 13:13:57+00:00,julalouise,"Christmas celebrations in hospital in Rouen, France. Photograph, 1918 by an unidentified photographer. From the collection of the Alexander Turnbull Library, Wellington, New Zealand, @NLNZ. https://t.co/nN381WFFGn https://t.co/YPvYgpKTch",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2017-12-21 15:37:58+00:00,enicoline_,my mum is getting back from the hospital tommorow morning whoe,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-20 14:05:05+00:00,enicoline_,"@AfcSelena lol I had this, my mum is in the hospital and literally everything went wrong. My boss told me I priced something wrong and I went in on him omg",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-12-17 20:16:46+00:00,enicoline_,My mum is now officially checken in at the hospital and I feel SO WEIRD,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-10-16 14:54:50+00:00,CatDadDan,@SusanCalman @EmmaKennedy @sueperkins these ladies kept me company in the hospital. Thank you! 😘,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-10-15 19:47:38+00:00,BartRoozendaal,"Why isn't there another hospital and doctor that comes forward to do this transplant? #beyondme 
#SaveAJDickerson",en,"Coordinates(longitude=5.2432057, latitude=52.1103985)"
2017-10-14 19:29:41+00:00,maartenvanriel,Na de moordaanslag begon Theodore Roosevelt aan zijn 90-minuten durende speech. Schrank werd gek verklaard en zat de rest van zijn leven (tot 1947) in het Central State Hospital for the Criminally Insane te Waupun. https://t.co/DRoYisHxWe,nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2017-10-10 19:52:14+00:00,JoostvanGaalen,@WorldofKeralis @FreshpopcornYT @skibitth @Strictoaster @TheFLUXtrance  the hospital time consumer: watching Cities Skylines YouTube series,en,"Coordinates(longitude=4.7919685, latitude=52.0649667)"
