Datetime,username,Text,language,coordinates
2018-12-10 16:03:20+00:00,kinderartsen,NHS has to ban fax machines still being used in healthcare #healthIT #CMIO https://t.co/YOKuvBHmzx,en,"Coordinates(longitude=4.7919685, latitude=52.0649667)"
2018-12-03 21:09:33+00:00,julalouise,@1940Andy @AmberRuddHR How an originally sound and progressive healthcare system got hopelessly outdated and now creates shocking fallout to keep its head above water. I’m sincerely sorry for you Andy!,en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-11-26 17:53:28+00:00,jannymorsink,"Luisteren naar collega Joost Huiskens MD verveelt nooit. Gepassioneerd over Data Science en medische wetenschap tijdens de @Procam Tech Talk: “Challenges in Healthcare, Research and data technology”. #datascience #analytics  #ceasarproject #sassoftware https://t.co/qnN747RKel",nl,"Coordinates(longitude=5.196287034850324, latitude=52.28433589340403)"
2018-09-13 16:31:36+00:00,Vitor_Pescador,"Better be ready! 
Very inspiring conference and great talk of @cwhogg on #digitaltherapeutics 
#nrclive #zorgtech #informaat #healthcare #ehealth #zorginnovatie #servicedesign @PropellerHealth @INFORMAAT https://t.co/wHrcvbclrg",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-09-09 07:42:35+00:00,MGvanDalen,"#AI predicted that people in a coma, who doctors had written off, would wake up. And they did.
👨‍⚕️🤖
#ArtificialIntelligence #HealthTech #healthcare #tech #prediction https://t.co/RtwdkDeFZe",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-09-06 11:28:47+00:00,tolmancs,"Nieuw: Wibeke Clifford, Consultant voor de medische vacatures. #medisch #vacatures #farma #healthcare #tolmancs @ Tolman Consultancy Pharma  Farmacie  Zorg  Food Medical Devices https://t.co/vspYYLZyrT",ro,"Coordinates(longitude=5.29914, latitude=52.1842613)"
2018-09-03 10:20:07+00:00,IndinNederlands,"Mr. Alojz Peterle Former PM of Slovenia and current Member of European Parliament delivers his address at the seminar “India-Netherlands Collaboration in Healthcare, including Ayurveda” at Leiden today Sept 3. https://t.co/kOOkOVUDad",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-09-03 10:06:22+00:00,IndinNederlands,"The Dutch Minister for Medical Care &amp; Sports Bruno Bruins who was a guest at the seminar “India-Netherlands Collaboration in Healthcare, including Ayurveda” at Leiden, Netherlands this morning. https://t.co/xBKDrJsKnZ",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-08-01 19:07:53+00:00,provoost,"@Tom_Horvath ""market"" is extremely ill defined in that statement. There are plenty of places with near universal healthcare that don't or only occasionally have queues. Those patients receive very limited price info. Equilibrium is found though something much more complex that ""market foces"".",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-08-01 17:28:53+00:00,provoost,"@Tom_Horvath I'm not buying the libertarian dream of an invisible hand magically fixing healthcare, but I do agree that ""shortage"" doesn't necessarily imply a supply-side problem.

90% of IT talent seems sucked up by banks, insanely inefficient government contracts and optimizing ad revenue.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-07-31 15:09:04+00:00,GijsvanLoef,"@pietroorda Nice remark! However, Dutch citizens are obliged to pay approximately 5700 euros per person (18 years &gt;) for healthcare services. Don't they have the right to receive, accordingly, proper and objective information about their healthcare (system) instead of commercial bullshit?!",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2018-07-28 23:10:18+00:00,kiefpief,"Kids separated from parents. No gun control. Drilling in national parks. Healthcare ripped away. Scandal after scandal. Total wreck of a presidency. Old, white out of touch men are the only ones benefitting. Oh, and strippers. https://t.co/XDp2pJVGij",en,"Coordinates(longitude=5.212289, latitude=52.165452)"
2018-07-23 17:19:05+00:00,Laar84,Congrats @CapDecisif! @PhilipsVC is happy to be a part of this fund to access and grow healthcare innovation in France and beyond! https://t.co/thncKnYhCX,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-07-12 22:19:51+00:00,saskia3D,'Virtual reality cured my fear of heights' https://t.co/Z6j2CdUxA8 #VR #healthcare,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-06-04 16:06:59+00:00,thieusmeets,ALV #H4i (healthcare for internationals). Groeit gestaag. Mooie projecten oa in Eindhoven,nl,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-05-30 17:49:08+00:00,anneknoop1990,"Onderweg naar Groningen, waar we morgen voor @menzis de Powerbreak App gaan testen. Can't wait!! #stoppenmetroken #healthcare.@GFHEU",nl,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-05-25 07:53:15+00:00,anneknoop1990,@PhilipsHealth about the future of healthcare during the integrated care conference. The keynote of @jeroentas and his takeaways: https://t.co/fPrlahos0O,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-05-24 08:34:27+00:00,CGIBHS,Urgent need for change in professional education to meet the global healthcare demands of populations #ICIC18 https://t.co/mhLHoSPr5M,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-05-23 07:49:31+00:00,stevesutch,"Dr Machteid Huber talking about the concept of Positive Health and a perspective on current and future healthcare 
#ICIC18 #integratedcare https://t.co/GCatW2S99S",en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-05-23 07:28:22+00:00,CGIBHS,"“It’s all about integrated care!” Dutch healthcare index #1. Future is about optimization. US, we need to pay attention and learn from the best! #ICIC18",en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-05-23 07:23:06+00:00,IFICInfo,Our conference hosts @HenkNies and Mirella Minkman from @VilansNL presents an overview of the Dutch Healthcare system #ICIC18 https://t.co/6vDIP6YUdg,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-05-22 09:37:26+00:00,saskiaterkuile,Description of the Dutch healthcare system @Fabriekstweet https://t.co/rTLbpbWqtc @VilansNL #icic2018 @HenkNies,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-05-22 08:04:22+00:00,gb_eleanor,"@declan_hadley @dr_sakthi - Dutch healthcare system “iHACS” every week they come together to address problems, look at solutions and break the rules to improve health and care across Utrecht! #integratedcare #ICIC18 https://t.co/VRGsMxAh6Y",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-05-22 07:55:19+00:00,gb_eleanor,Learning about the Dutch Healthcare system at the pre-conference site visits - the focus on neighbourhoods and place based integrated care @VilansNL @rivm #ICIC18 #integratedcare https://t.co/qpXBaAtFqE,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-05-04 12:20:44+00:00,TFHealthCare,Poland is rapidly developing and transforming its healthcare system. The time to start in #Poland is now! Join TFHC on a #LSH mission to Warsaw from 18-20 June and meet key stakeholders in #healthcare https://t.co/kG4FgKMo9o,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-04-16 15:47:10+00:00,saskiaterkuile,.@VilansNLExperience Day during The International Forum on Quality and Safety in Healthcare (English) @QualityForum @TheIHI @BMJOpenQuality - Waardigheid en trots https://t.co/0Zr5Ri4pjR,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-04-10 09:29:04+00:00,saskiaterkuile,Experience day @QualityForum van @VilansNL @hannietreffers @HenkNies @RobbertHuijsman tijdens The International Forum on Quality and Safety in Healthcare - @Waardigentrots  https://t.co/aRD0xC3WYI @IGJnl @Topaz_zorg @Reigershoeve @ReinaerdeZorg @amstelringzorg,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2018-04-07 09:05:37+00:00,Schliessler,"@tanarr0 To me a state should be the next level above city level, so in charge of Healthcare, education, language, culture, heritage, economics etc. Big enough to have universities little enough not to have your own weapons industry or Afrika policy.",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2018-04-04 20:49:53+00:00,drazx2,@BruellaDeville @RyanCentral_ If looking good is a chronic condition then sign me up for some healthcare cause I got a bad case of it ... also may be drunk at this point,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-03-13 21:48:48+00:00,Eurotrol,"When diagnostic companies spend shareholders $$$$, it's clear their accountability is with the shareholder, not with the patient.

#PatientCare #healthcare #qualityimprovement #qualitymatters",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-03-12 15:01:55+00:00,MargaretBreman,Insurance companies step in healthcare? It's easier to be an advocate for the patient when you don't work for the corporation that is controlling the reimbursement decision.,en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2018-03-12 10:23:43+00:00,tha_rami,"@EscoBlades If someone is not terrified of US healthcare costs, they're either both American and rich, or they're being played by people who are both American and rich.",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2018-03-09 13:59:25+00:00,MGvanDalen,"#Blockchain is not just the #technology behind #bitcoin. Here are 8 ways blockchain will have impact on:
#healthcare
#banking
#transport
#energy
#entertainment
#insurance
#RealEstate
#FinancialServices (#FinTech) https://t.co/eV6fKrVaeX",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-03-07 00:28:03+00:00,tha_rami,"@jcrichman @scottlee No, I think guns offer no protection. 

Your rights are still stripped, your rights still trampled, your healthcare the most expensive in the West, and your country the most bloody one in terms of mass shootings.

You lost a long time ago, but your gun makes you feel better.",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2018-02-24 12:41:01+00:00,everbass,"Designers need to tackle more complex problems. Don't stop at interactions. Think of the services these interactions are part of. But even further zoomed out, look at the system. Hospital application &gt; patient journey &gt; healthcare system. @2pk_koen #WIAD18 #WIAD18NL https://t.co/rA8tKr1tBq",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-02-22 15:18:42+00:00,MuziekGeluk,"@winstontexel here is the @FabNHSStuff 

tip from Rip 😊 follow @RoyLilley he writes three times a week a great blog about healthcare 
Was great to met you 👍😊 https://t.co/iqrznhSxJ3",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2018-02-20 16:00:12+00:00,Araz_Abbas,Communication in healthcare is the fundement of patient safety https://t.co/17KOoKq4aY,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2018-02-17 10:33:34+00:00,RibasJC,Back to hackathon mode - empowering entrepreneurs to solving healthcare needs! #avicenna #hackathon https://t.co/9kg6xceA8J,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
