Datetime,username,Text,language,coordinates
2021-12-27 11:56:46+00:00,MGvanDalen,"Brilliant video by John's Hopkins Hospital:
#HomeAlone #COVID19 #BoosterJab #booster #GetVaccinatedNow #Omicron
https://t.co/hsZoU8Rvlt",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-12-14 06:56:05+00:00,MayMayMeijer,"When I am in psychosis, the colour I am triggered most by is 'black.' Guess what? My whole check in team at the mental hospital was in black! Guess what colour the psychiatrist, and the 2 doctors where wearing yesterday? All in black! Watch this video: 1/2
https://t.co/DrTaK3PFv4",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2021-11-12 20:41:36+00:00,ericvanthoff,We are going back in #lockdown in The Netherlands :-( Very sad for all customer-facing entrepreneurs but alternative is that hospitals get overloaded by #corona patients who can't be treated anymore! Get vaccinated if not done yet! We are now in a pandemie of unvaccinated! https://t.co/MXa7F2VLOX,en,"Coordinates(longitude=4.9092946, latitude=52.1149386)"
2021-11-11 08:01:59+00:00,MayMayMeijer,"Woolie mum, @TanjaRanke1! Hello!! We are on our way to @UMCUtrecht hospital to make children smile. Spreading love and peace around like you mum. 🕊♥️🙏🏾 https://t.co/Fbk7XntIRv",en,"Coordinates(longitude=5.137385, latitude=52.2557636)"
2021-11-09 14:05:05+00:00,ODSTSpartan,"Yo is that Stephen A. Smith on General Hospital?!

Lmaoooo

Also holy shit Maurice Benard is still  playing Sonny?!? Gahdamn. https://t.co/dytSIN8znX",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-10-27 08:48:34+00:00,sudbeat91NL,@sole76Cba Choque con un zapato de acá ayer ese venía distraído y me llevó puesto 💥🚲🚲💥🚑 al hospital!  Estoy bien igual comi asfalto y un par de puntos en unos de los brazos,es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-09-20 19:02:15+00:00,studiorobbie,"@bencoates1 Total bullshit. In a hospital in Utrecht; masks alle over the place. Be proud, hero!",en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2021-09-19 17:06:06+00:00,futboleranica,Es terrible la situación de la pandemia en Nicaragua. Mis condolencias a sus familiares y fuerzas para Juan que aún sigue en el hospital luchando contra este virus. https://t.co/SvOW621dpv,es,"Coordinates(longitude=5.212289, latitude=52.165452)"
2021-09-12 17:30:08+00:00,ODSTSpartan,"Maaaan when I tell you I whispering ""wtf are you doing lady"" multiple times when she was on her way to the mental hospital. Couldn't be me. Nope. Nope. NOPE.
God I love that movie. https://t.co/91luIEU6SD",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-09-09 09:23:57+00:00,Francisca80s,"@rick99gtp I have an 8 yr old son, he would be so scared in the hospital. Hope you can take him home soon and has a fast recovery.",en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2021-09-03 17:23:48+00:00,Tonivelos,"@LeeRumble71 @AmandaMarbles Eso me ha pasado a mí 2 veces, me hacían bullying y cuando me fueron a pegar, del miedo y de la rabia, los mande ambos al hospital, no aparecieron semanas por la escuela. No se les va a olvidar nunca.",es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-08-22 23:25:24+00:00,kromst,@UncleHotep @HotepJesus Possibly confirmed. Hospital data. https://t.co/LLMx4ivdjz,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-08-14 20:03:12+00:00,julalouise,"Enjoying the evening while it lasts, stubbornly ignoring the fact that tomorrow will start with a drive to hospital, not so bright, but oh so early. https://t.co/lmjWBV5xkr",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2021-08-05 12:27:51+00:00,BicycleDutch,Visit to a hospital in Utrecht. This is the covered bicycle parking area which is closer to the entrance than the car park. https://t.co/8u7G7yJDRg,en,"Coordinates(longitude=5.13826, latitude=52.08156)"
2021-08-01 08:21:48+00:00,H2ODraganSavic,"Hospitals in East #London were left without power, forced to evacuate patients, and cancel operations because of flash #flooding over the weekend. Tube stations were submerged and major roads through the capital were forced to close.  
https://t.co/rhq1wpT02j",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-07-10 18:16:26+00:00,MayMayMeijer,This time the angels in Gaza came up with the idea to give 30 fruit baskets to hospital patients. May God bless all patients and people who are suffering and the angels. Together for: A World in Which All Children Can Play. 🕊♥️🙏🏾#Gaza #Peace #Endpoverty #WorldPeace https://t.co/igKObc4qpt,en,"Coordinates(longitude=5.137385, latitude=52.2557636)"
2021-07-09 17:25:21+00:00,willyrlindsay,"Goes against what most experiences have been, but Maudsley hospital, part of CAMHS ED has been absolutely amazing for me and my daughter with AN. @MaudsleyNHS @beatED @EDHopeGlobal https://t.co/d10umkSCrX",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2021-07-03 09:44:42+00:00,TatumRhode,"tore my ACL, got back up &amp; played the last two minutes of the game &amp; only went to the hospital the next day (because i thought i could shake it off) ! tore my ankle ligaments, drove myself to the hospital after the game 🤟🏼 netty players are damn strong ! https://t.co/8mNeuoGscQ",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2021-06-25 18:33:41+00:00,imkewb,"just got out of the hospital, feeling pretty snazzy",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2021-06-16 21:46:16+00:00,peSHIr,"@ejnoordhuis Crap. Good news: after hospital sets and immobilises it it should heal itself. (Even within a multiple axis joint, I hope?) Bad news: it'll take a while. #beterschap",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-05-09 20:56:09+00:00,AlxOcdev,"Made this chain-crash accident for some lads in Amsterdam Stad. It went very well but sadly 3 people died in the crash and 1 died on the way to the hospital. 

Expect more posts like this on my feed since i do not know what you guys are interested in. https://t.co/ljqHdSEWS7",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2021-04-26 08:12:55+00:00,MakhanRishwan,"@narendramodi Build the necessary infrastructure and oxygen supply asap in the local hospitals. The doctor-population ratio in India is 1:1456 against WHO recommendation. There is a lack of medical staff in our holy country. Need a review.

Read more at: https://t.co/uahAfUPBt0",en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2021-04-10 16:20:44+00:00,clindemans,"There are strong calls to open up society in The Netherlands. But cases are still tremendously high,  hospitals  massively full and important diagnoses are being missed  every day and normal care delayed. Vaccinate health care now! All of it! https://t.co/JNvaWUYyTi",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-04-07 08:11:31+00:00,stigma_fighter,"Hello my lovely people ,it's hospital day for Iron infuus. No walking 10km today and tomorrow.For 2 years I lost a lot iron because of heavy menstruation. So I have been taking every day iron pill.This infuus is my final solution.#StayHealthy
#ironinfuus #UequalsU #hivshameless https://t.co/iZQMvyJyqK",en,"Coordinates(longitude=5.1792141131297615, latitude=52.08629740246989)"
2021-03-24 19:19:13+00:00,voellig,@kai_incognito The hospital near where my sister lives sent appointment scheduling to her work so she signed up,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-03-22 10:42:34+00:00,Isadale123M,"Enquanto não for você ou um familiar seu precisando de um leito de hospital, lutando pela vida, você não vai criar vergonha na cara e parar de aglomerar não é??",pt,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2021-03-10 18:33:50+00:00,elsboerhof,"Every president or PM who has ignored or denied #covid19 till date has been in hospital, I believe. This one even claimed there was no corona in #Tanzania at all. He has now joined the leagues of Trump, Johnson and Bolsonaro🤔 https://t.co/h7MOWgHhn6",en,"Coordinates(longitude=4.9092946, latitude=52.1149386)"
2021-03-07 00:39:44+00:00,EcoMovehouten,"@StephenUzzell2 @sk1138_stephan Long time ago I worked in a hospital where I had to wash elderly with a numbertattoo and discusting unnatural subjects under the skin. And stil humans acting same towards fellow animals, specially jewish religious community never chanced their religious cruelty to fellow animals.",en,"Coordinates(longitude=5.1195597, latitude=51.9594995)"
2021-03-05 13:53:45+00:00,BslMartyn,@TheNewEuropean @NeilKBrand I remember that they promised 40 new hospitals. How many projects have actually been started?,en,"Coordinates(longitude=4.9092946, latitude=52.1149386)"
2021-03-01 23:32:45+00:00,Tonivelos,"@nacho991960 @KukySalem4 @populares Se les podrá criticar por muchas cosas, pero robar lo hacen fenomenalmente, a la luz del día y con todos los votantes con los ojos bien abiertos.Que un hospital por aquí, una ciudad de la justicia por allá, todo afinado por detras.",es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-02-25 13:52:33+00:00,Blinni3,@sweetdivakells @swxxt_bxrry @livingbreadgurl Never have I even thought to order that hospital to close shop cause their very existence upsets me.,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2021-02-25 13:51:20+00:00,Blinni3,@sweetdivakells @swxxt_bxrry @livingbreadgurl I love you comment. I have ptsd too. And I either avoid my triggers. Or ask my therapist how to handle them. One of my triggers is the hospital where my son was born very sick. But I am also very sick and i need to go to that hospital all the time.,en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2021-02-14 17:51:00+00:00,ArthurdeCrook,"""We believe that the solution @Blyott offers contributes to a better use of medical devices and can save hospitals a lot of costs and time."" https://t.co/jxX42FYQu0",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-01-29 10:13:25+00:00,Benhur_Gill,"I strongly condemn shameful, inhuman &amp; #brutal act of #Muslim Nurses.
Look! how treating to #Christian #Nurse ""Tabitha Gill"" on fake #blasphemy allegation at Sobhraj #Maternity #Hospital #Karachi.
I urge @ImranKhanPTI @sherryrehman to take stern action &amp; protect Christian #woman. https://t.co/rtwWsFTmdT",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2021-01-03 00:33:31+00:00,Tonivelos,"@lugaricano Quiere decir si nos lo  repartimos juntos, como el Zendal en Madrid, un hospital inútil con más sobrecostos que el valor inicial. Ar le te la que caer la cara de vergüenza, ser se un partido que pacta con un partido neonazi.",es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
